"","X.","Player","Club","Po","GP","YC","YCG","RC","RCG","SC","C1H","C2H","F","OF","season"
"554","54th","Miroslav Slepička","","F",15,1,"0,1",0,"0,0",510,0,1,4,8,2020
"555","55th","Ivo Táborský","","F",17,2,"0,1",0,"0,0",159,0,2,9,0,2020
"556","56th","Roman Hubník","PLZ","D",5,1,"0,2",0,"0,0",123,1,0,2,0,2020
"557","57th","Daniel Pudil","MBL","D",28,4,"0,1",0,"0,0",890,2,2,17,4,2020
"558","58th","Václav Procházka","FCB","D",22,6,"0,3",0,"0,0",904,2,4,24,1,2020
"559","59th","Jiří Krejčí","","D",11,1,"0,1",0,"0,0",159,1,0,3,0,2020
"560","60th","Josef Jindřišek","BOH","M",32,3,"0,1",0,"0,0",1567,2,1,35,0,2020
"561","61st","Tomáš Pilík","FKJ","M",30,1,"0,0",0,"0,0",775,0,1,15,1,2020
"562","62nd","Petr Javorek","CEB","M",27,6,"0,2",0,"0,0",498,2,4,45,14,2020
"563","63rd","Ondřej Kúdela","SLA","D",30,3,"0,1",0,"0,0",1241,2,1,32,0,2020
"564","64th","David Limberský","","D",20,4,"0,2",0,"0,0",515,2,2,23,1,2020
"565","65th","Michal Vepřek","OLO","D",23,4,"0,2",0,"0,0",960,0,4,33,0,2020
"566","66th","Adam Hloušek","PLZ","D",18,1,"0,1",0,"0,0",1007,0,1,7,1,2020
"567","67th","Ondřej Mazuch","MBL","D",10,2,"0,2",0,"0,0",246,1,1,8,0,2020
"568","68th","Bořek Dočkal","","M",13,4,"0,3",0,"0,0",310,1,3,11,0,2020
"569","69th","Tomáš Hořava","","M",26,2,"0,1",0,"0,0",1306,1,1,18,1,2020
"570","70th","Jakub Řezníček","TEP","F",25,6,"0,2",0,"0,0",756,2,4,51,40,2020
"571","71st","Radim Řezník","PLZ","D",30,5,"0,2",0,"0,0",598,0,5,34,5,2020
"572","72nd","Vít Beneš","OLO","D",24,6,"0,3",0,"0,0",523,0,6,26,0,2020
"573","73rd","Tomáš Jablonský","PRI","D",2,0,"0,0",0,"0,0",4,0,0,0,0,2020
"574","74th","Michal Šmíd","","D",8,2,"0,3",0,"0,0",298,0,2,6,0,2020
"575","75th","Lukáš Pazdera","PRI","D",13,3,"0,2",0,"0,0",90,0,3,8,1,2020
"576","76th","David Bartek","BOH","D",25,4,"0,2",0,"0,0",711,2,2,28,2,2020
"577","77th","Milan Škoda","SLA","F",14,3,"0,2",0,"0,0",338,0,3,18,1,2020
"578","78th","Jan Moravec","KAR","D",13,1,"0,1",0,"0,0",458,1,0,15,2,2020
"579","79th","Admir Ljevakovič","","M",14,2,"0,1",0,"0,0",247,0,2,7,0,2020
"580","80th","Martin Zeman","","M",31,3,"0,1",0,"0,0",641,2,1,15,5,2020
"581","81st","Jakub Rada","BOH","M",8,1,"0,1",0,"0,0",278,0,1,7,0,2020
"582","82nd","Stanislav Hofmann","SLO","D",27,8,"0,3",0,"0,0",761,4,4,31,0,2020
"583","83rd","Jan Kovařík","PLZ","M",28,3,"0,1",0,"0,0",713,0,3,25,9,2020
"584","84th","Jan Kalabiška","SLO","D",27,2,"0,1",0,"0,0",1022,0,2,32,4,2020
"585","85th","Antonín Fantiš","ZLN","F",30,3,"0,1",0,"0,0",1030,1,2,32,12,2020
"586","86th","Petr Jiráček","ZLN","M",30,6,"0,2",0,"0,0",681,0,6,43,1,2020
"587","87th","Martin Doležal","FKJ","F",33,3,"0,1",0,"0,0",924,0,3,38,11,2020
"588","88th","Tomáš Vondrášek","TEP","D",26,8,"0,3",0,"0,0",550,1,7,30,2,2020
"589","89th","Martin Jindráček","PRI","F",15,0,"0,0",0,"0,0",143,0,0,6,3,2020
"590","90th","Jan Hošek","OPA","D",6,1,"0,2",0,"0,0",379,1,0,5,0,2020
"591","91st","Michael Rabušic","CEB","F",6,1,"0,2",0,"0,0",129,0,1,6,0,2020
"592","92nd","Jan Chramosta","FKJ","F",27,1,"0,0",0,"0,0",666,0,1,7,7,2020
"593","93rd","Tomáš Wágner","","F",24,5,"0,2",0,"0,0",349,0,5,30,5,2020
"594","94th","Radim Breite","OLO","M",27,8,"0,3",0,"0,0",572,2,6,44,3,2020
"595","95th","Jakub Brabec","PLZ","D",32,4,"0,1",0,"0,0",1634,1,3,25,0,2020
"596","96th","Jakub Podaný","BOH","D",21,3,"0,1",0,"0,0",1047,1,2,27,2,2020
"597","97th","Pavel Dreksa","KAR","D",6,1,"0,2",0,"0,0",214,0,1,1,0,2020
"598","98th","Martin Nešpor","OLO","F",11,2,"0,2",0,"0,0",323,0,2,17,5,2020
"599","99th","Jan Navrátil","SLO","M",31,6,"0,2",0,"0,0",1532,0,6,45,9,2020
"600","100th","Ladislav Martan","CEB","M",2,0,"0,0",0,"0,0",25,0,0,0,0,2020
"601","1st","Filip Kaša","PLZ","D",18,4,"0,2",2,"0,1",623,5,1,30,0,2021
"602","2nd","Matěj Hrabina","OPA","D",23,4,"0,2",2,"0,1",320,3,3,16,2,2021
"603","3rd","Olivier Kingue","PRI","D",16,5,"0,3",2,"0,1",526,3,4,20,0,2021
"604","4th","Jan Prosek","PCE","D",16,3,"0,2",2,"0,1",837,2,3,20,0,2021
"605","5th","Michal Kadlec","SLO","D",32,6,"0,2",1,"0,0",720,2,5,25,0,2021
"606","6th","Martin Fillo","FCB","D",32,5,"0,2",1,"0,0",1106,4,2,38,3,2021
"607","7th","Tomáš Necid","BOH","F",27,5,"0,2",1,"0,0",1079,2,4,28,19,2021
"608","8th","Jan Kalabiška","SLO","D",25,6,"0,2",1,"0,0",909,1,6,50,1,2021
"609","9th","Tomáš Vondrášek","TEP","D",26,4,"0,2",1,"0,0",911,1,4,33,0,2021
"610","10th","Jan Hošek","TEP","D",3,0,"0,0",1,"0,3",137,0,1,2,0,2021
"611","11th","Jan Navrátil","SLO","M",25,4,"0,2",1,"0,0",849,3,2,34,3,2021
"612","12th","David Pavelka","ACS","M",25,7,"0,3",1,"0,0",868,2,6,51,0,2021
"613","13th","Vlastimil Daníček","SLO","M",25,3,"0,1",1,"0,0",744,2,2,43,0,2021
"614","14th","Michal Trávník","ACS","M",18,0,"0,0",1,"0,1",423,0,1,17,2,2021
"615","15th","Milan Havel","PLZ","D",26,5,"0,2",1,"0,0",804,1,5,35,3,2021
"616","16th","Jhon Mosquera","LIB","M",29,8,"0,3",1,"0,0",601,2,7,43,23,2021
"617","17th","Jakub Pešek","LIB","M",31,5,"0,2",1,"0,0",1447,3,3,34,11,2021
"618","18th","Tomáš Poznar","ZLN","F",31,7,"0,2",1,"0,0",1448,5,3,73,34,2021
"619","19th","Martin Nový","PRI","D",29,5,"0,2",1,"0,0",732,1,5,44,0,2021
"620","20th","Ladislav Krejčí","ACS","M",20,7,"0,4",1,"0,1",441,4,4,43,1,2021
"621","21st","Antonín Růsek","BRN","F",30,4,"0,1",1,"0,0",841,2,3,45,18,2021
"622","22nd","Miloš Kratochvíl","FKJ","M",20,7,"0,4",1,"0,1",593,4,4,47,1,2021
"623","23rd","Jakub Pokorný","FCB","D",30,6,"0,2",1,"0,0",409,5,2,30,0,2021
"624","24th","Peter Štěpanovský","BRN","M",30,6,"0,2",1,"0,0",561,3,4,37,4,2021
"625","25th","Jiří Kulhánek","OPA","M",22,2,"0,1",1,"0,0",167,1,2,23,0,2021
"626","26th","Vladimir Jovovič","FKJ","M",27,2,"0,1",1,"0,0",956,0,3,22,1,2021
"627","27th","Taras Kačaraba","SLA","D",20,6,"0,3",1,"0,1",336,2,5,20,0,2021
"628","28th","Samuel Dancák","MBL","M",18,4,"0,2",1,"0,1",924,0,5,22,0,2021
"629","29th","Lamin Jawo","ZLN","F",28,6,"0,2",1,"0,0",546,4,3,55,15,2021
"630","30th","Maksym Talovjerov","CEB","D",26,5,"0,2",1,"0,0",447,4,2,40,2,2021
"631","31st","Šimon Gabriel","TEP","D",18,4,"0,2",1,"0,1",118,2,3,17,1,2021
"632","32nd","David Heidenreich","TEP","D",9,1,"0,1",1,"0,1",437,2,0,17,0,2021
"633","33rd","Martin Šejvl","PCE","D",25,2,"0,1",1,"0,0",1289,1,2,14,0,2021
"634","34th","Carlos Eduardo Lopes Cruz Cadu","PCE","M",29,6,"0,2",1,"0,0",574,4,3,35,3,2021
"635","35th","Lukáš Skovajsa","CEB","D",20,2,"0,1",1,"0,1",1007,1,2,28,4,2021
"636","36th","Abdallah Sima","SLA","F",21,5,"0,2",1,"0,0",670,2,4,37,4,2021
"637","37th","Christ Tiéhi","OPA","M",19,5,"0,3",1,"0,1",456,4,2,29,0,2021
"638","38th","Ruben Droehnle","TEP","D",10,2,"0,2",1,"0,1",257,1,2,12,0,2021
"639","39th","Tobiáš Slovák","ZLN","D",1,1,"1,0",1,"1,0",71,0,2,2,0,2021
"640","40th","Jan Fiala","OLO","F",2,2,"1,0",1,"0,5",85,0,3,3,0,2021
"641","41st","Pavel Zavadil","","M",8,2,"0,3",0,"0,0",390,0,2,4,0,2021
"642","42nd","Tomáš Hübschman","FKJ","M",29,2,"0,1",0,"0,0",857,0,2,16,0,2021
"643","43rd","Marek Matějovský","MBL","M",16,5,"0,3",0,"0,0",444,3,2,33,0,2021
"644","44th","Michal Papadopulos","KAR","F",31,7,"0,2",0,"0,0",677,2,5,53,17,2021
"645","45th","Pavel Černý","PCE","F",30,3,"0,1",0,"0,0",838,1,2,40,12,2021
"646","46th","Jan Rezek","","M",25,5,"0,2",0,"0,0",766,1,4,24,8,2021
"647","47th","Roman Hubník","OLO","D",26,6,"0,2",0,"0,0",634,3,3,31,0,2021
"648","48th","Václav Procházka","ZLN","D",30,7,"0,2",0,"0,0",441,2,5,52,2,2021
"649","49th","Milan Petržela","SLO","M",33,3,"0,1",0,"0,0",922,0,3,46,14,2021
"650","50th","Josef Jindřišek","BOH","M",21,2,"0,1",0,"0,0",1087,0,2,16,0,2021
"651","1st","Pavel Bucha","PLZ","M",31,2,"0,1",2,"0,1",1211,1,3,41,2,2022
"652","2nd","Roman Hubník","OLO","D",18,1,"0,1",1,"0,1",817,1,1,18,1,2022
"653","3rd","Václav Procházka","ZLN","D",30,9,"0,3",1,"0,0",622,3,7,32,0,2022
"654","4th","Radim Řezník","PLZ","D",24,4,"0,2",1,"0,0",551,1,4,24,3,2022
"655","5th","Lukáš Mareček","TEP","M",24,2,"0,1",1,"0,0",790,1,3,33,0,2022
"656","6th","Stanislav Hofmann","SLO","D",29,4,"0,1",1,"0,0",934,4,1,22,1,2022
"657","7th","Theodor Gebre Selassie","LIB","D",30,3,"0,1",1,"0,0",2113,1,3,15,0,2022
"658","8th","Luděk Pernica","PLZ","D",24,2,"0,1",1,"0,0",740,0,3,13,2,2022
"659","9th","Václav Pilař","FKJ","M",24,7,"0,3",1,"0,0",486,1,7,28,4,2022
"660","10th","Jakub Hora","CEB","M",28,8,"0,3",1,"0,0",976,3,6,35,0,2022
"661","11th","Petr Reinberk","SLO","D",31,4,"0,1",1,"0,0",1053,2,3,30,2,2022
"662","12th","Josef Divíšek","SLO","D",11,3,"0,3",1,"0,1",105,1,3,5,0,2022
"663","13th","Tomáš Malínský","FKJ","M",29,7,"0,2",1,"0,0",542,3,5,30,11,2022
"664","14th","Lukáš Štetina","LIB","D",11,5,"0,5",1,"0,1",254,3,3,15,0,2022
"665","15th","Jiří Skalák","MBL","M",26,1,"0,0",1,"0,0",598,0,2,15,3,2022
"666","16th","Petr Hronek","BOH","M",32,6,"0,2",1,"0,0",997,4,4,57,16,2022
"667","17th","Milan Havel","PLZ","D",31,5,"0,2",1,"0,0",1174,5,1,33,8,2022
"668","18th","Filip Kaša","PLZ","D",19,2,"0,1",1,"0,1",631,0,3,15,0,2022
"669","19th","Jhon Mosquera","PLZ","M",33,5,"0,2",1,"0,0",1074,2,4,52,17,2022
"670","20th","Filip Zorvan","KAR","M",14,1,"0,1",1,"0,1",815,0,2,11,2,2022
"671","21st","Otto Urma","HKR","D",13,5,"0,4",1,"0,1",246,1,5,18,1,2022
"672","22nd","Lukáš Bartošák","KAR","D",33,9,"0,3",1,"0,0",511,3,7,66,4,2022
"673","23rd","Petr Kodeš","HKR","M",29,12,"0,4",1,"0,0",593,7,6,50,0,2022
"674","24th","Jan Kuchta","SLA","F",16,2,"0,1",1,"0,1",691,1,2,8,6,2022
"675","25th","David Lischka","FCB","D",30,6,"0,2",1,"0,0",898,2,5,21,0,2022
"676","26th","Ladislav Krejčí","ACS","M",21,7,"0,3",1,"0,0",429,4,4,46,0,2022
"677","27th","Filip Havelka","LIB","M",24,3,"0,1",1,"0,0",835,3,1,27,1,2022
"678","28th","Vojtěch Smrž","MBL","M",26,5,"0,2",1,"0,0",377,5,1,19,0,2022
"679","29th","František Čech","HKR","D",21,7,"0,3",1,"0,0",579,4,4,32,0,2022
"680","30th","Srdjan Plavšič","SLA","M",24,1,"0,0",1,"0,0",567,0,2,11,5,2022
"681","31st","Rudolf Reiter","ZLN","M",22,1,"0,0",1,"0,0",426,0,2,8,7,2022
"682","32nd","Benjamin Čolić","CEB","D",25,3,"0,1",1,"0,0",776,1,3,25,0,2022
"683","33rd","Murphy Dorley Oscar","SLA","D",23,2,"0,1",1,"0,0",844,1,2,16,7,2022
"684","34th","Tomáš  Wiesner","ACS","D",33,2,"0,1",1,"0,0",2718,0,3,45,4,2022
"685","35th","Michal Surzyn","FKJ","D",23,5,"0,2",1,"0,0",510,0,6,28,1,2022
"686","36th","Filip  Čihák","PCE","D",27,4,"0,1",1,"0,0",702,4,1,21,1,2022
"687","37th","Tomáš Čvančara","ACS","F",29,6,"0,2",1,"0,0",251,3,4,44,6,2022
"688","38th","Martin Koscelník","","D",27,5,"0,2",1,"0,0",817,2,4,23,2,2022
"689","39th","Martin Chlumecký","FCB","D",23,8,"0,3",1,"0,0",662,2,7,30,1,2022
"690","40th","Nemanja Kuzmanovič","FCB","M",33,6,"0,2",1,"0,0",486,2,5,44,8,2022
"691","41st","Pavel Zifčák","OLO","F",26,1,"0,0",1,"0,0",1070,0,2,23,7,2022
"692","42nd","Vachtang Čanturišvili","ZLN","M",25,5,"0,2",1,"0,0",433,5,1,18,6,2022
"693","43rd","Pablo González","OLO","M",22,6,"0,3",1,"0,0",351,4,3,42,4,2022
"694","44th","Marco Túlio","KAR","M",24,3,"0,1",1,"0,0",944,2,2,18,2,2022
"695","45th","Jan Knapík","TEP","D",25,3,"0,1",1,"0,0",743,0,4,22,0,2022
"696","46th","Maksym Talovjerov","SLA","D",25,10,"0,4",1,"0,0",333,3,8,28,1,2022
"697","47th","Gigli Ndefe","FCB","D",33,8,"0,2",1,"0,0",1138,5,4,45,2,2022
"698","48th","Eduardo Santos","PLZ","D",27,4,"0,1",1,"0,0",755,3,2,36,0,2022
"699","49th","Daniel Mareček","BOH","M",17,2,"0,1",1,"0,1",159,2,1,12,0,2022
"700","50th","Rigino Cicilia","SLO","F",23,1,"0,0",1,"0,0",795,0,2,35,7,2022
"701","51st","Michal Tomič","SLO","D",29,2,"0,1",1,"0,0",427,0,3,14,1,2022
"702","52nd","Jan Jeřábek","PCE","M",29,10,"0,3",1,"0,0",461,5,6,37,2,2022
"703","53rd","Lukáš Skovajsa","CEB","D",17,1,"0,1",1,"0,1",1138,1,1,17,3,2022
"704","54th","Rajmund Mikuš","","M",20,2,"0,1",1,"0,1",544,1,2,19,1,2022
"705","55th","Christ Tiéhi","LIB","M",22,4,"0,2",1,"0,0",1298,4,1,26,0,2022
"706","56th","Robin Hranáč","PCE","D",10,0,"0,0",1,"0,1",571,1,0,7,0,2022
"707","57th","Ladislav Almási","FCB","F",32,4,"0,1",1,"0,0",1238,1,4,48,5,2022
"708","58th","Aiham Ousou","SLA","D",25,4,"0,2",1,"0,0",947,3,2,24,1,2022
"709","59th","Tomáš Hübschman","FKJ","M",25,2,"0,1",0,"0,0",1562,0,2,16,4,2022
"710","60th","Marek Matějovský","MBL","M",29,10,"0,3",0,"0,0",680,4,6,51,1,2022
"711","61st","Michal Papadopulos","KAR","F",31,5,"0,2",0,"0,0",628,4,1,22,9,2022
"712","62nd","Michal Kadlec","SLO","D",30,4,"0,1",0,"0,0",859,2,2,17,0,2022
"713","63rd","Pavel Černý","PCE","F",30,3,"0,1",0,"0,0",905,1,2,25,16,2022
"714","64th","Jan Rezek","","M",10,1,"0,1",0,"0,0",484,1,0,11,6,2022
"715","65th","Milan Petržela","SLO","M",30,4,"0,1",0,"0,0",645,2,2,45,4,2022
"716","66th","Josef Jindřišek","BOH","M",22,2,"0,1",0,"0,0",1040,1,1,16,0,2022
"717","67th","Petr Javorek","CEB","M",9,0,"0,0",0,"0,0",374,0,0,3,0,2022
"718","68th","Jakub Mareš","TEP","F",20,5,"0,3",0,"0,0",478,1,5,26,13,2022
"719","69th","Marek Suchý","MBL","D",33,5,"0,2",0,"0,0",992,1,4,45,1,2022
"720","70th","Ondřej Kúdela","SLA","D",13,2,"0,2",0,"0,0",610,2,0,9,0,2022
"721","71st","Martin Fillo","ZLN","D",26,2,"0,1",0,"0,0",429,0,2,28,1,2022
"722","72nd","Kamil Vacek","PCE","M",22,5,"0,2",0,"0,0",164,2,3,26,3,2022
"723","73rd","Jan Vošahlík","FKJ","M",1,0,"0,0",0,"0,0",59,0,0,1,0,2022
"724","74th","Michal Vepřek","OLO","D",19,1,"0,1",0,"0,0",802,0,1,2,0,2022
"725","75th","Adam Hloušek","ZLN","D",7,2,"0,3",0,"0,0",271,2,0,4,2,2022
"726","76th","Ondřej Mazuch","TEP","D",8,2,"0,3",0,"0,0",377,1,1,10,0,2022
"727","77th","Tomáš Necid","BOH","F",17,2,"0,1",0,"0,0",530,0,2,15,7,2022
"728","78th","Bořek Dočkal","","M",27,4,"0,1",0,"0,0",567,2,2,21,2,2022
"729","79th","Vít Beneš","OLO","D",24,1,"0,0",0,"0,0",1322,0,1,13,1,2022
"730","80th","David Bartek","BOH","D",28,1,"0,0",0,"0,0",991,0,2,9,8,2022
"731","81st","Milan Škoda","MBL","F",24,4,"0,2",0,"0,0",890,1,3,37,9,2022
"732","82nd","Admir Ljevakovič","","M",2,1,"0,5",0,"0,0",87,0,1,6,0,2022
"733","83rd","Jan Krob","FKJ","D",21,6,"0,3",0,"0,0",610,2,4,14,1,2022
"734","84th","Ondřej Čelůstka","ACS","D",8,1,"0,1",0,"0,0",471,1,0,11,0,2022
"735","85th","Jakub Rada","HKR","M",33,4,"0,1",0,"0,0",555,1,3,32,0,2022
"736","86th","Jan Kovařík","BOH","M",20,1,"0,1",0,"0,0",1117,0,2,11,2,2022
"737","87th","Jan Kalabiška","SLO","D",33,5,"0,2",0,"0,0",671,1,4,45,6,2022
"738","88th","Antonín Fantiš","ZLN","F",25,0,"0,0",0,"0,0",1543,0,0,23,3,2022
"739","89th","Martin Doležal","FKJ","F",17,2,"0,1",0,"0,0",697,0,2,19,1,2022
"740","90th","Tomáš Vondrášek","TEP","D",28,3,"0,1",0,"0,0",1053,1,3,23,1,2022
"741","91st","Václav Kadlec","FKJ","F",9,1,"0,1",0,"0,0",72,0,1,6,4,2022
"742","92nd","Michael Rabušic","LIB","F",29,2,"0,1",0,"0,0",727,1,1,28,7,2022
"743","93rd","Jan Chramosta","BOH","F",22,2,"0,1",0,"0,0",889,0,2,14,18,2022
"744","94th","Daniel Bartl","KAR","M",5,1,"0,2",0,"0,0",138,1,0,3,0,2022
"745","95th","Radim Breite","OLO","M",32,5,"0,2",0,"0,0",1643,3,2,48,0,2022
"746","96th","Jakub Brabec","PLZ","D",6,1,"0,2",0,"0,0",359,0,1,6,0,2022
"747","97th","Martin Nešpor","FKJ","F",11,1,"0,1",0,"0,0",142,0,1,4,3,2022
"748","98th","Jan Navrátil","OLO","M",25,3,"0,1",0,"0,0",314,0,3,32,2,2022
"749","99th","Jan Bořil","SLA","D",5,1,"0,2",0,"0,0",449,0,1,7,0,2022
"750","100th","Lukáš Hejda","PLZ","D",30,3,"0,1",0,"0,0",1298,0,3,39,0,2022
