"","X.","Player","Club","Po","GP","YC","YCG","RC","RCG","SC","C1H","C2H","F","OF","season"
"99","49th","Pavel Verbíř","","M",21,1,"0,0",0,"0,0",920,0,1,0,0,2011
"100","50th","Marek Nikl","","D",26,3,"0,1",0,"0,0",1035,2,1,0,0,2011
"101","1st","Lukáš Bodeček","","D",15,1,"0,1",2,"0,1",636,1,2,0,0,2012
"102","2nd","Lukáš Pleško","","D",26,4,"0,2",1,"0,0",1309,2,3,0,0,2012
"103","3rd","Marek Kulič","","F",26,6,"0,2",1,"0,0",875,2,5,0,0,2012
"104","4th","Jan Riegel","","D",8,1,"0,1",1,"0,1",162,0,2,0,0,2012
"105","5th","Jan Nezmar","","F",29,5,"0,2",1,"0,0",991,2,4,0,0,2012
"106","6th","David Horejš","","D",8,0,"0,0",1,"0,1",373,1,0,0,0,2012
"107","7th","Petr Johana","","D",11,4,"0,4",1,"0,1",528,2,4,0,0,2012
"108","8th","Vlastimil Vidlička","","D",19,3,"0,2",1,"0,1",443,2,2,0,0,2012
"109","9th","Václav Svěrkoš","","F",16,5,"0,3",1,"0,1",374,2,4,0,0,2012
"110","10th","Ivo Táborský","","F",9,1,"0,1",1,"0,1",253,1,1,0,0,2012
"111","11th","Tomáš Janíček","MBL","D",25,6,"0,2",1,"0,0",455,3,4,0,0,2012
"112","12th","Marcel Šťastný","","D",23,11,"0,5",1,"0,0",347,2,10,0,0,2012
"113","13th","Ladislav Volešák","","M",20,7,"0,4",1,"0,1",650,3,5,0,0,2012
"114","14th","Aleš Škerle","","D",28,4,"0,1",1,"0,0",795,2,3,0,0,2012
"115","15th","Tomáš Pilík","PRI","M",28,5,"0,2",1,"0,0",536,2,4,0,0,2012
"116","16th","Pavel Malchárek","","D",7,1,"0,1",1,"0,1",343,1,1,0,0,2012
"117","17th","Antonín Rosa","","D",28,6,"0,2",1,"0,0",593,2,5,0,0,2012
"118","18th","Jan Kysela","MBL","D",20,5,"0,3",1,"0,1",529,2,4,0,0,2012
"119","19th","Miloš Brezinský","","D",15,2,"0,1",1,"0,1",45,0,3,0,0,2012
"120","20th","Pavel Eliáš","","M",27,3,"0,1",1,"0,0",1225,0,4,0,0,2012
"121","21st","Lukáš Kubáň","","D",25,9,"0,4",1,"0,0",348,2,8,0,0,2012
"122","22nd","Václav Ondřejka","","F",22,6,"0,3",1,"0,0",758,1,6,0,0,2012
"123","23rd","Daniel Silva Rossi","OLO","M",21,2,"0,1",1,"0,0",643,2,1,0,0,2012
"124","24th","Lukáš Zoubele","TEP","M",17,2,"0,1",1,"0,1",250,2,1,0,0,2012
"125","25th","Pavel Ricka","","D",9,3,"0,3",1,"0,1",338,2,2,0,0,2012
"126","26th","Marek Plašil","","D",22,4,"0,2",1,"0,0",705,1,4,0,0,2012
"127","27th","Manuel Pamić","","D",28,6,"0,2",1,"0,0",652,2,5,0,0,2012
"128","28th","Filip Novák","","D",18,4,"0,2",1,"0,1",541,2,3,0,0,2012
"129","29th","Daniel Bartl","ZIZ","M",19,4,"0,2",1,"0,1",383,3,2,0,0,2012
"130","30th","Martin Nešpor","BOH","F",26,6,"0,2",1,"0,0",357,5,2,0,0,2012
"131","31st","Marek Bakoš","PLZ","F",28,3,"0,1",1,"0,0",783,2,2,0,0,2012
"132","32nd","Pavel Novák","CEB","D",17,1,"0,1",1,"0,1",414,0,2,0,0,2012
"133","33rd","Michal Ďuriš","","F",27,4,"0,1",1,"0,0",439,2,3,0,0,2012
"134","34th","David Pavelka","SLO","M",22,2,"0,1",1,"0,0",838,2,1,0,0,2012
"135","35th","Jakub Sklenář","","F",5,1,"0,2",1,"0,2",65,1,1,0,0,2012
"136","36th","Marián Čišovský","","D",27,1,"0,0",1,"0,0",2339,0,2,0,0,2012
"137","37th","Pavol Poliaček","","M",19,4,"0,2",1,"0,1",649,2,3,0,0,2012
"138","38th","Matěj Paprčiak","","F",6,0,"0,0",1,"0,2",108,0,1,0,0,2012
"139","39th","Tomáš Holeš","HKR","M",12,2,"0,2",1,"0,1",448,2,1,0,0,2012
"140","40th","Aleksey Jedunov","","M",7,2,"0,3",1,"0,1",118,0,3,0,0,2012
"141","41st","Stanislav Vlček","","F",26,0,"0,0",0,"0,0",1428,0,0,0,0,2012
"142","42nd","Tomáš Řepka","","D",17,3,"0,2",0,"0,0",180,1,2,0,0,2012
"143","43rd","Pavel Horváth","","M",29,3,"0,1",0,"0,0",1385,0,3,0,0,2012
"144","44th","Libor Sionko","","M",23,4,"0,2",0,"0,0",563,2,2,0,0,2012
"145","45th","Jiří Štajner","","F",29,4,"0,1",0,"0,0",1158,0,4,0,0,2012
"146","46th","Lukáš Jarolím","","M",28,7,"0,3",0,"0,0",685,2,5,0,0,2012
"147","47th","Erich Brabec","","D",14,1,"0,1",0,"0,0",571,0,1,0,0,2012
"148","48th","Marek Jankulovski","","D",1,0,"0,0",0,"0,0",26,0,0,0,0,2012
"149","49th","Radim Kučera","","D",28,1,"0,0",0,"0,0",1683,0,1,0,0,2012
"150","50th","Benjamin Vomáčka","","D",24,4,"0,2",0,"0,0",990,1,3,0,0,2012
"151","1st","Lukáš Vácha","","M",27,7,"0,3",3,"0,1",648,3,7,0,0,2013
"152","2nd","Lukáš Magera","","F",18,5,"0,3",2,"0,1",376,3,4,0,0,2013
"153","3rd","Aleš Škerle","","D",21,5,"0,2",2,"0,1",720,0,7,0,0,2013
"154","4th","Karol Karlík","","M",23,8,"0,3",2,"0,1",358,6,4,0,0,2013
"155","5th","Tomáš Řepka","","D",10,4,"0,4",1,"0,1",294,1,4,0,0,2013
"156","6th","Benjamin Vomáčka","","D",20,3,"0,2",1,"0,1",661,2,2,0,0,2013
"157","7th","Milan Fukal","","D",22,5,"0,2",1,"0,0",901,0,6,0,0,2013
"158","8th","Petr Lukáš","","D",14,4,"0,3",1,"0,1",317,3,2,0,0,2013
"159","9th","Jan Vorel","","D",29,2,"0,1",1,"0,0",899,2,1,0,0,2013
"160","10th","Pavel Mezlík","","F",26,5,"0,2",1,"0,0",585,4,2,0,0,2013
"161","11th","David Lafata","","F",28,2,"0,1",1,"0,0",946,1,2,0,0,2013
"162","12th","Jan Trousil","","D",28,4,"0,1",1,"0,0",630,3,2,0,0,2013
"163","13th","Tomáš Marek","JIH","M",11,2,"0,2",1,"0,1",480,1,2,0,0,2013
"164","14th","Zbyněk Pospěch","","F",28,5,"0,2",1,"0,0",772,0,6,0,0,2013
"165","15th","Radek Hochmeister","","M",26,0,"0,0",1,"0,0",1375,0,1,0,0,2013
"166","16th","Adam Varadi","","F",12,3,"0,3",1,"0,1",230,1,3,0,0,2013
